description;icao;iata;latitude_deg;longitude_deg
Losuia Airport;AYKA;LSA;-8.505.820.274.353.020;15.108.099.365.234.300
Kopiago Airport;AYKG;KPA;-53.883;1.424.977
Kiunga Airport;AYKI;UNG;-61.257.100.105.285.600;14.128.199.768.066.400
Kanainj Airport;AYKJ;KNE;-52.903;1.447.072
Kikori Airport;AYKK;KRI;-7.424.379.825.592.040;1.442.500.762.939.450
Kerema Airport;AYKM;KMA;-796.361.017.227;145.770.996.094
Kar Kar Airport;AYKR;KRX;-4.557;1.459.404
Kieta Airport;AYKT;KIE;-630.541.666.667;155.728.138.889
Kuri Airport;AYKU;KUQ;-7.135.083;143.276.111
Kavieng Airport;AYKV;KVG;-257.940.006.256;150.807.998.657
Londolovit Airport;AYKY;LNV;-304.361.009.598;152.628.997.803
Lab Lab Airport;AYLB;LAB;-57.204;1.480.566
Lowai Airport;AYLO;LWI;-63.344;1.466.458
Leron Plains Airport;AYLP;LPN;-63.917;1.463.434
Lese Airport;AYLS;LNG;-82.799;1.462.765
Long Island Airport;AYLX;LSJ;-53.604;1.470.177
Yas Island Seaplane Base;AYM;AYM;24.467;546.103
Manari Airport;AYMA;MRM;-91.908;1.476.219
Morobe Airport;AYMB;OBM;-7.74;147.59
Madang Airport;AYMD;MAG;-520.707.988.739;145.789.001.465
Mount Hagen Kagamuga Airport;AYMH;HGU;-5.826.789.855.957.030;14.429.600.524.902.300
Mougulu Airport;AYML;GUV;-6.280.859;142.420.775
Mendi Airport;AYMN;MDU;-614.774;143.656.998
Momote Airport;AYMO;MAS;-206.189;147.423.996
Moro Airport;AYMR;MXH;-636.332.988.739;143.238.006.592
Misima Island Airport;AYMS;MIS;-10.689.200.401.299.900;152.837.997.437
Marawaka Airport;AYMW;MWG;-69.736;1.458.849
Nankina Airport;AYNA;NKN;-5.837;1.464.533
Negarbo(Negabo) Airport;AYNE;GBF;-6.567.778;144.703.058
Manguna Airport;AYNG;MFO;-5.577.778;151.792.333
Kasonombe Airport;AYNM;KSB;-63.819;1.469.859
Nomane Airport;AYNO;NMN;-632.183;145.070.667
Nambaiyufa Airport;AYNY;NBA;-62.412;1.452.424
Nadzab Airport;AYNZ;LAE;-6.569.803;146.725.977
Konge Airport;AYOE;KGB;-62.239;1.472.152
Oksapmin Airport;AYOJ;OKP;-52.261;1.422.259
Komako Airport;AYOK;HOC;-73.984;1.458.827
Komaio Airport;AYOQ;KCJ;-72.714;1.435.952
Koroba Airport;AYOW;KDE;-56.952;1.427.441
Pangoa Airport;AYPC;PGB;-70.226;1.415.605
Pangia Airport;AYPG;PGN;-6.386;1.441.084
Mapoda Airport;AYPO;MPF;-7.979;1.431.694
Pumani Airport;AYPQ;PMN;-97.469;1.494.766
Port Moresby Jacksons International Airport;AYPY;POM;-9.443.380.355.834.960;14.722.000.122.070.300
Sopu Airport;AYQO;SPH;-83.038;1.471.659
Sialum Airport;AYQS;SXA;-60.908;1.475.955
Rumginae Airport;AYRG;RMN;-589.722.222.222;141.271.666.667
Karimui Airport;AYRI;KMR;-64.921;144.823
Maramuni Airport;AYRM;MWI;-5.13;1.434.829
May River Airstrip;AYRV;MRH;-43.615;141.785
Suabi Airport;AYSA;SBE;-610.444.444.444;142.278.333.333
Simberi Airport;AYSE;NIS;-266.222.222.222;151.997.777.778
Sila Airport;AYSG;SIL;-907.355.555.556;14.838.925
Sabah Airport;AYSH;SBV;-55.765;1.550.489
Simbai Airport;AYSJ;SIM;-5.278.611.111.110.000;144.544.722.222
Selbang Airport;AYSO;SBC;-5.315;141.752
Sepik Plains Airport;AYSQ;SPV;-38.821;1.436.734
Sauren Airport;AYSV;SXW;-59.701;1.488.543
Masa Airport;AYSX;MBV;-6.345;147.591
Tari Airport;AYTA;TIZ;-584.499.979.019;142.947.998.047
Tabubil Airport;AYTB;TBG;-52.786.102.294.921.800;1.412.259.979.248.040
Tapini Airport;AYTI;TPI;-835.666.666.667;146.989.166.667
Tokua Airport;AYTK;RAB;-434.045.982.361;152.380.004.883
Tekin Airport;AYTN;TKW;-524.366.666.667;142.165.194.444
Tep Tep Airport;AYTP;TEP;-59.553;1.465.595
Tsewi Airport;AYTS;TSW;-70.695;1.461.272
Tarakbits Airport;AYTT;TRJ;-5.614;1.410.421
Tawa Airport;AYTW;TWY;-74.463;1.461.067
Tekadu Airport;AYTZ;TKB;-76.808;1.465.503
Aiyura Airport;AYU;AYU;-633.805.555.556;145.904.166.667
Umba Airport;AYUC;UMC;-70.214;145.966
Uroubi Airport;AYUE;URU;-95.162;1.485.591
Upiara Airport;AYUR;UPR;-85.411;1.426.503
Uvol Airport;AYUZ;UVO;-60.178;1.509.557
Talasea Airport;AYVL;TLW;-52.726;1.500.089
Torembi Airport;AYVM;TCJ;-40.165;1.431.329
Vanimo Airport;AYVN;VAI;-26.926;1.413.028
Tonu Airport;AYVO;TON;-66.552;1.554.326
Wabo Airport;AYWB;WAO;-698.944.444.444;145.075.111.111
Wapenamanda Airport;AYWD;WBM;-56.433.000.564.575.100;14.389.500.427.246.000
Wawoi Falls Airport;AYWF;WAJ;-69.523;1.426.557
Wewak International Airport;AYWK;WWK;-358.383.011.818;143.669.006.348
Wonenara Airport;AYWO;WOA;-6.796.861.111.110.000;145.891.944.444
Wakunai Airport;AYWQ;WKN;-58.603;1.552.223
Wasu Airport;AYWS;WSU;-596.170.944.919;14.719.822.526
Woitape Airport;AYWT;WTP;-854.583.333.333;1.472.525
Wau Airport;AYWU;WUG;-7.345.555.555.560.000;146.718.611.111
Yeva Airport;AYXE;YVD;-7.548;146.188
Sim Airport;AYXI;SMJ;-7.75;1.469.273
Weam Airport;AYXW;WEP;-86.184;1.411.381
Arugam Bay SPB;AYY;AYY;6.86;8.182.388.888.890.000
Yalumet Airport;AYYE;KYX;-6.09;1.470.117
Yasuru Airport;AYYR;KSX;-66.015;1.461.813
Zahn's Airport;AYZ;AYZ;40.71;-73.4
Wasum Airport;AYZM;WUM;-60.491;149.337
Zabrat Airport;AZ-0001;ZXT;404.955.422.161;499.768.066.406
Lava Falls Heliport;AZ15;HAE;36.191.600.799.599.900;-113.092.002.869
Amazon Bay Airport;AZB;AZB;-102.991.666.667;149.338.333.333
Bali Airport;BAJ;BAJ;-48.833.333.333.299.900;149.133.333.333
Baibara Airport;BAP;BAP;-103.432;1.496.414
Branson Airport;BBG;BKG;36.532.082;-93.200.544
Baca Grande Airfield;BCJ;BCJ;37.964.777.777.799.900;-105.776.666.667
Bambu Airport;BCP;BCP;-5.863.611.111.110.000;1.464.925
Benguera Island Airport;BCW;BCW;-21.853.300.094.604.400;3.543.830.108.642.570
Milyakburra Airport;BCZ;BCZ;-13.780.833.333.299.900;136.201.666.667
Willmar Municipal -John L Rice Field;BDH;ILL;4.511.769.867;-9.513.040.161
Baindoung Airport;BDZ;BDZ;-634.722.222.222;146.942.222.222
Bereina Airport;BEA;BEA;-8.64;1.465.083
Berlin Brandenburg Airport (U.C.);BER;BER;52.351.388.888.900.000;13.493.888.888.899.900
Malevo Airport;BG-HKV;HKV;41.871.799.469;256.047.992.706
Bezmer Air Base;BG-JAM;JAM;424.548.988.342;263.521.995.544
Aasiaat Airport;BGAA;JEG;687.218.017.578;-527.846.984.863
Tasiilaq Heliport;BGAM;AGM;6.561.229.608.469.990;-376.183.354.855
Alluitsup Paa Heliport;BGAP;LLU;6.046.445;-4.556.917
Attu Heliport;BGAT;QGQ;679.406.628.551;-536.218.696.833
Narsarsuaq Airport;BGBW;UAK;611.604.995.728;-454.259.986.877
Qasigiannguit Heliport;BGCH;JCH;68.822.815.547;-511.734.473.705
Neerlerit Inaat Airport;BGCO;CNP;707.431.030.273;-226.504.993.439
Dundas Airport;BGDU;DUN;76.525;-68.8
Eqalugaarsuit Heliport;BGET;QFG;606.197.196.536;-459.140.619.636
Narsaq Kujalleq Heliport;BGFD;QFN;600.046.935.439;-446.569.347.382
Godthaab / Nuuk Airport;BGGH;GOH;6.419.090.271;-516.781.005.859
Qeqertarsuaq Heliport;BGGN;JGO;69.251.181.993;-535.148.763.657
Iginniarfik;BGIG;QFI;681.472.255.861;-531.735.277.176
Ikerassaarsuk Heliport;BGIK;QRY;6.814.088.100.629.990;-534.414.589.405
Ilimanaq Heliport;BGIL;XIQ;690.809.150.007;-511.143.153.906
Ikamiut Heliport;BGIT;QJI;686.342.530.984;-518.322.622.776
Qaqortoq Heliport;BGJH;JJU;60.715.684.155.299.900;-460.299.186.409
Ilulissat Airport;BGJN;JAV;692.432.022.095;-510.570.983.887
Kangaatsiaq Heliport;BGKA;QPW;683.126.574.861;-534.602.075.815
Kulusuk Airport;BGKK;KUS;65.573.600.769;-371.236.000.061
Kitsissuarsuit Heliport;BGKT;QJE;6.885.792.599.759.990;-53.123.295.307.199.900
Maniitsoq Airport;BGMQ;JSU;654.124.984.741;-529.393.997.192
